shape_id,begin,end
21-101-2-sj2-1.1.R,"1","306"
21-101-0-sj2-1.1.R,"1","111"
38-902-X-sj2-1.6.H,"1","881"
21-100-9-sj2-1.1.R,"1","304"
38-902-X-sj2-1.5.R,"1","480"
21-100-8-sj2-1.1.R,"1","677"
38-902-X-sj2-1.4.R,"1","638"
21-100-7-sj2-1.1.R,"1","134"
38-902-X-sj2-1.3.R,"1","424"
21-100-6-sj2-1.1.R,"1","841"
38-902-X-sj2-1.2.R,"1","767"
21-102-2-sj2-1.1.R,"1","485"
38-902-X-sj2-1.1.H,"1","414"
21-102-1-sj2-1.1.R,"1","685"
38-902-sj2-1.9.R,"1","353"
21-102-0-sj2-1.1.R,"1","305"
38-902-sj2-1.8.H,"1","394"
21-101-8-sj2-1.1.R,"1","200"
38-903-sj2-1.5.R,"1","414"
21-101-7-sj2-1.1.R,"1","601"
38-903-sj2-1.4.R,"1","401"
21-101-6-sj2-1.1.R,"1","485"
38-903-sj2-1.3.R,"1","388"
20-454-9-sj2-1.1.H,"1","1203"
21-101-5-sj2-1.1.R,"1","202"
38-903-sj2-1.2.R,"1","408"
21-101-4-sj2-1.1.R,"1","662"
38-903-sj2-1.12.R,"1","367"
21-103-0-sj2-1.1.R,"1","383"
38-903-sj2-1.11.R,"1","400"
21-102-9-sj2-1.1.R,"1","868"
38-903-sj2-1.10.R,"1","405"
21-102-8-sj2-1.1.R,"1","288"
38-903-sj2-1.1.R,"1","410"
21-102-7-sj2-1.1.R,"1","730"
38-904-sj2-1.4.R,"1","428"
21-102-6-sj2-1.1.R,"1","544"
21-102-5-sj2-1.1.R,"1","311"
21-102-4-sj2-1.1.R,"1","831"
38-904-sj2-1.1.R,"1","400"
21-102-3-sj2-1.1.R,"1","79"
38-903-sj2-1.9.R,"1","389"
38-903-sj2-1.8.R,"1","393"
38-903-sj2-1.7.R,"1","407"
38-903-sj2-1.6.R,"1","281"
22-813-sj2-1.13.R,"1","913"
38-904-sj2-1.8.H,"1","412"
22-813-sj2-1.11.R,"1","952"
38-904-sj2-1.5.R,"1","407"
22-813-sj2-1.3.H,"1","811"
2-T5-sj2-9.13.R,"1","646"
2-T5-sj2-9.12.R,"1","648"
2-T5-sj2-9.11.H,"1","664"
2-T5-sj2-9.10.R,"1","650"
2-T5-sj2-9.1.H,"1","487"
22-816-sj2-1.7.R,"1","467"
