locality,Jobs,cutoff,X,T_freq,L_freq
CASULA,22021.5500849965,30,3,0.0,3.0
CARTWRIGHT,78467.5271117669,30,3,0.0,3.0
HECKENBERG,32385.333015873,30,3,0.0,3.0
SADLEIR,19657.9148871263,30,3,0.0,3.0
LURNEA,51161.0361683472,30,3,0.0,3.0
ASHCROFT,24944.2290158219,30,3,0.0,3.0
LIVERPOOL,64419.056650199695,30,3,0.0,3.0
MOOREBANK,26705.5535897121,30,3,0.0,3.0
WARWICK FARM,55671.033088963704,30,3,0.0,3.0
WATTLE GROVE,4084.1965499874104,30,3,0.0,3.0
CHIPPING NORTON,17968.6127708096,30,3,0.0,3.0
HOLSWORTHY,6385.52058456603,30,3,0.0,3.0
HAMMONDVILLE,5506.5033832769395,30,3,0.0,3.0
MOUNT PRITCHARD,55470.0597826087,30,3,0.0,3.0
PRESTONS,24500.7317875841,30,3,0.0,3.0
VOYAGER POINT,2833.2344110854497,30,3,0.0,3.0
PLEASURE POINT,850.544964028777,30,3,0.0,3.0
WEST HOXTON,29811.351871657796,30,3,0.0,3.0
CECIL HILLS,6071.138192862571,30,3,0.0,3.0
HOXTON PARK,39307.8055277388,30,3,0.0,3.0
HINCHINBROOK,25094.237008629,30,3,0.0,3.0
GREEN VALLEY,17270.9150131694,30,3,0.0,3.0
HORNINGSEA PARK,10922.6944072786,30,3,0.0,3.0
MIDDLETON GRANGE,35945.591713794,30,3,0.0,3.0
DENHAM COURT,814.0016877637131,30,3,0.0,3.0
EDMONDSON PARK,10037.2497732303,30,3,0.0,3.0
LUDDENHAM,6220.87692307692,30,3,0.0,3.0
CARNES HILL,32933.9505163511,30,3,0.0,3.0
ELIZABETH HILLS,8111.36819329246,30,3,0.0,3.0
CECIL PARK,323.0,30,3,0.0,3.0
LEN WATERS ESTATE,,30,3,0.0,3.0
LEPPINGTON,4980.61966604824,30,3,0.0,3.0
BRINGELLY,17947.9989350373,30,3,0.0,3.0
GREENDALE,441.75,30,3,0.0,3.0
BADGERYS CREEK,60310.4736842105,30,3,0.0,3.0
KEMPS CREEK,68178.90803485,30,3,0.0,3.0
WALLACIA,183.617699115044,30,3,0.0,3.0
AUSTRAL,58197.679001986,30,3,0.0,3.0
ROSSMORE,65896.31648552099,30,3,0.0,3.0
SILVERDALE,12.3448275862069,30,3,0.0,3.0
BUSBY,137449.815812721,45,3,0.0,3.0
MILLER,172783.979711692,45,3,0.0,3.0
CASULA,124916.81357426199,45,3,0.0,3.0
CARTWRIGHT,249169.208779048,45,3,0.0,3.0
HECKENBERG,115176.96793650801,45,3,0.0,3.0
SADLEIR,97747.97132397801,45,3,0.0,3.0
LURNEA,170753.04460762802,45,3,0.0,3.0
ASHCROFT,86059.68490211849,45,3,0.0,3.0
LIVERPOOL,211400.43336551,45,3,0.0,3.0
MOOREBANK,147995.592456076,45,3,0.0,3.0
