shape_pt_node,shape_pt_seq,route_id,index,y,x,osmid,highway,ref,lon,lat,geometry
1821479155,94,TT_r-2056,1821479155,-3756002.5868582292,302797.8551972597,1821479155,,,150.8666073,-33.926017,POINT (302797.8551972597 -3756002.58685823)
1612739320,95,TT_r-2056,1612739320,-3756004.575221501,302832.96954016364,1612739320,,,150.8669865,-33.9260415,POINT (302832.9695401636 -3756004.575221501)
1612739276,96,TT_r-2056,1612739276,-3756010.3315827963,302891.79387241026,1612739276,,,150.86762119999997,-33.9261044,POINT (302891.7938724103 -3756010.331582796)
1612739295,97,TT_r-2056,1612739295,-3756022.2148526087,302957.46954394673,1612739295,,,150.86832859999998,-33.926223799999995,POINT (302957.4695439467 -3756022.214852609)
1612739305,98,TT_r-2056,1612739305,-3756038.5099741886,303009.473887808,1612739305,,,150.8688872,-33.9263804,POINT (303009.473887808 -3756038.509974189)
286719396,99,TT_r-2056,286719396,-3756065.1909784814,303087.6467359201,286719396,,,150.8697264,-33.926635499999996,POINT (303087.6467359201 -3756065.190978481)
2130213875,100,TT_r-2056,2130213875,-3756103.218587095,303209.34952441475,2130213875,traffic_signals,,150.87103369999997,-33.927001000000004,POINT (303209.3495244147 -3756103.218587094)
6315740819,101,TT_r-2056,6315740819,-3756116.566753714,303253.71677314397,6315740819,,,150.8715104,-33.9271296,POINT (303253.716773144 -3756116.566753714)
36399622,102,TT_r-2056,36399622,-3756121.798558842,303271.0840426418,36399622,traffic_signals,,150.87169699999998,-33.92718,POINT (303271.0840426418 -3756121.798558841)
36399624,103,TT_r-2056,36399624,-3756149.2373608514,303375.95444464136,36399624,,,150.8728247,-33.9274469,POINT (303375.9544446414 -3756149.237360851)
36399626,104,TT_r-2056,36399626,-3756163.5964095546,303440.10725254845,36399626,,,150.8735151,-33.9275883,POINT (303440.1072525484 -3756163.596409555)
1857106472,105,TT_r-2056,1857106472,-3756169.4167831913,303470.8512988622,1857106472,,,150.87384619999997,-33.9276465,POINT (303470.8512988622 -3756169.416783191)
286726234,106,TT_r-2056,286726234,-3756171.113112988,303490.1890930013,286726234,traffic_signals,,150.8740549,-33.927665399999995,POINT (303490.1890930013 -3756171.113112988)
1482662553,107,TT_r-2056,1482662553,-3756173.786977862,303504.11797412,1482662553,crossing,,150.87420490000002,-33.9276921,POINT (303504.11797412 -3756173.786977862)
7311932968,108,TT_r-2056,7311932968,-3756176.683555303,303550.6818635432,7311932968,,,150.8747077,-33.927726899999996,POINT (303550.6818635432 -3756176.683555303)
300674576,109,TT_r-2056,300674576,-3756179.5590826394,303599.34478555305,300674576,,,150.8752332,-33.9277619,POINT (303599.3447855531 -3756179.559082638)
300674573,110,TT_r-2056,300674573,-3756178.188487565,303659.11100200925,300674573,,,150.87587969999998,-33.9277607,POINT (303659.1110020092 -3756178.188487565)
600243486,111,TT_r-2056,600243486,-3756175.595758162,303708.7890347229,600243486,,,150.8764174,-33.9277466,POINT (303708.789034723 -3756175.595758162)
36399629,112,TT_r-2056,36399629,-3756170.186733064,303776.620015798,36399629,,,150.877152,-33.927710499999996,POINT (303776.620015798 -3756170.186733064)
